"source","target","source_lang","target_lang","structure","position"
"DANH MỤC ĐẦU TƯ TÀI SẢN CỐ ĐỊNH - MMTB CHO GIAI ĐOẠN I CỦA DỰ ÁN","INVESTMENT PORTFOLIO FOR FIXED ASSETS - EQUIPMENT FOR PRJ PHASE I","vi","en","cell","DM MMTB!A1"
"KHẤU HAO","DEPRECIATION","vi","en","cell","DM MMTB!J1"
"TT","No.","vi","en","cell","DM MMTB!A2"
"Hạng mục đầu tư","Investment Item","vi","en","cell","DM MMTB!B2"
"ĐVT","UoM","vi","en","cell","DM MMTB!C2"
"ĐVTT","Currency","vi","en","cell","DM MMTB!D2"
"Diện tích/Số lượng","Area/Quantity","vi","en","cell","DM MMTB!E2"
"Đơn giá","Unit price","vi","en","cell","DM MMTB!F2"
"Giá trị
theo nguyên tệ (000,000)","Value in Original Currency (000,000)","vi","en","cell","DM MMTB!G2"
"TGTT","Ex. Rate","vi","en","cell","DM MMTB!H2"
"Giá trị quy đổi
(triệu VND)","Converted Value (VND million)","vi","en","cell","DM MMTB!I2"
"Thời gian KH (năm)","Depr. Period
(year)","vi","en","cell","DM MMTB!J2"
"Giá trị khấu hao / năm 
(triệu VND)","Annual Depr. Value (VND million)","vi","en","cell","DM MMTB!K2"
"Lịch khấu hao chi tiết (triệu VND)","Detailed depreciation schedule (VND million)","vi","en","cell","DM MMTB!L2"
"Năm 1","Year 1","vi","en","cell","DM MMTB!L3"
"Năm 2","Year 2","vi","en","cell","DM MMTB!M3"
"Năm 3","Year 3","vi","en","cell","DM MMTB!N3"
"Năm 4","Year 4","vi","en","cell","DM MMTB!O3"
"Năm 5","Year 5","vi","en","cell","DM MMTB!P3"
"Năm 6","Year 6","vi","en","cell","DM MMTB!Q3"
"TỔNG CỘNG GIAI ĐOẠN 1","PHASE 1 TOTAL","vi","en","cell","DM MMTB!B4"
"Tiền thuê đất KCN xây dựng  nhà xưởng sản xuất","Industrial Park land rental for factory construction","vi","en","cell","DM MMTB!B6"
"m2/năm","m2/year","vi","en","cell","DM MMTB!C6"
"VNĐ","VND","vi","en","cell","DM MMTB!D6"
"Phòng xử lý và cung cấp lượng nước đầu vào lọc thô","Raw water input & filtration room","vi","en","cell","DM MMTB!B8"
"Phòng xử lý lắng đọng tạp chất (2 ~ 3 ngày)","Sedimentation room (2-3 days)","vi","en","cell","DM MMTB!B9"
"Phòng lọc nước bằng microfiter (Thứ 1 & 2: Microfilter, thứ 3: 7-MÃ)","Microfilter filtration room (1st & 2nd: Microfilter, 3rd: 7-MAX)","vi","en","cell","DM MMTB!B10"
"Phòng cung cấp lưu trữ công thức và hòa trộn thành phần cơ bản","Formula storage & basic mixing room","vi","en","cell","DM MMTB!B11"
"Phòng khử trùng bằng tia cực tím","UV sterilization room","vi","en","cell","DM MMTB!B12"
"Phòng chế biến, hòa trộn khoáng vi lượng, vitamin ..và nước RO","Trace minerals, vitamins & RO mixing room","vi","en","cell","DM MMTB!B13"
"Phòng khử trùng UHT","UHT sterilization room","vi","en","cell","DM MMTB!B14"
"Phòng kiểm soát nồng độ / Kiểm tra chất lượng lần 1","Concentration control / QC 1 room","vi","en","cell","DM MMTB!B15"
"Phòng chiết rót & đóng gói sản phẩm","Filling & packaging room","vi","en","cell","DM MMTB!B16"
"Phòng khử trùng sau cùng / Làm lạnh nhanh & Sấy khô sản phẩm","Final sterilization / Cooling & Drying room","vi","en","cell","DM MMTB!B17"
"Phòng Kiểm tra Sản phẩm sau đóng gói / Kiểm tra chất lượng lần 2","Post-packaging inspection / QC 2 room","vi","en","cell","DM MMTB!B18"
"Phòng QA/QC ký xác nhận cấp mã phát hành sản phẩm","QA/QC product code authorization room","vi","en","cell","DM MMTB!B19"
"Phòng  đặt lò hơi","Boiler room","vi","en","cell","DM MMTB!B20"
"Phòng máy nén khí và Chiller và hệ thống động lực","Compressor, Chiller & Power system room","vi","en","cell","DM MMTB!B21"
"Hệ thống tập kết nguyên liệu sản xuất và bao bì","Materials & packaging gathering system","vi","en","cell","DM MMTB!B22"
"Nhà văn phòng","Office building","vi","en","cell","DM MMTB!B23"
"Phòng nghiên cứu sinh học và Lab trung tâm","Bio-research & Central Lab","vi","en","cell","DM MMTB!B24"
"Kho vật tư, nguyên liệu, bán thành phẩm, thành phẩm","Materials & products warehouse","vi","en","cell","DM MMTB!B25"
"MÁY MÓC THIẾT BỊ CHÍNH CHO XƯỞNG SẢN XUẤT DỰ KIẾN","MAIN PRODUCTION EQUIPMENT (PROPOSED)","vi","en","cell","DM MMTB!B27"
"Hệ thống bơm, bồn cấp nước sạch đầu vào 40,000 lít /Korea","Input clean water pump & tank 40,000L (Korea)","vi","en","cell","DM MMTB!B28"
"set","set","vi","en","cell","DM MMTB!C28"
"Hệ thống lọc nước chuẩn cấp 1-2 / Korea","Water filtration system Level 1-2 (Korea)","vi","en","cell","DM MMTB!B29"
"Hệ thống phối trộn khoáng vi lượng Cmarox cốt với RO","CMAROX mother liquor & RO mixing system","vi","en","cell","DM MMTB!B30"
"Dây chuyền chiết rót chai 2L-5L (500 b/h)","2L-5L Filling line (500 b/h)","vi","en","cell","DM MMTB!B31"
"Dây chuyền chiết rót chai 1,500 b/h (100-250-500) ml","100-500ml Filling line (1,500 b/h)","vi","en","cell","DM MMTB!B32"
"Đường ống lắp đặt các máy inox + nhựa","Stainless steel & plastic piping","vi","en","cell","DM MMTB!B33"
"Xe đẩy inox","Stainless steel trolleys","vi","en","cell","DM MMTB!B34"
"Hệ thống thiết bị làm nguội trước khi đưa vào chiết rót thành phẩm","Pre-filling cooling system","vi","en","cell","DM MMTB!B35"
"Bồn định lượng 500L có cánh khuấy liệu  / 304","500L Dosing tank with agitator / 304","vi","en","cell","DM MMTB!B36"
"Bồn Hòa trộn I / 1000 L có cánh khấy / 304","Mixing tank I / 1000L with agitator / 304","vi","en","cell","DM MMTB!B37"
"Bồn đồng hóa + hòa trộn II / 450 L có cánh khuấy  / 316","Homogenization & mixing tank II / 450L with agitator / 316","vi","en","cell","DM MMTB!B38"
"Bồn ổn định dịch chiết sau hòa trộn II /2000L / 316","Stabilization tank II / 2000L / 316","vi","en","cell","DM MMTB!B39"
"Bồn chứa dịch chiết trước khi vào máy chiết / 2000 L có cánh khuấy / 304","Pre-filling storage tank / 2000L with agitator / 304","vi","en","cell","DM MMTB!B40"
"Bồn chiết trên máy chiết /200L có cánh khuấy / 304","Filling machine tank / 200L with agitator / 304","vi","en","cell","DM MMTB!B41"
"Hệ thống lọc nước RO 2500 lít /giờ","RO filtration system (2500 L/h)","vi","en","cell","DM MMTB!B42"
"Công nắp đặt + bảo hành 12 tháng + vận chuyển","Installation, 12m warranty & transport","vi","en","cell","DM MMTB!B43"
"Hệ thống CIP và COP cho dây chuyền / 204","CIP & COP system / 204","vi","en","cell","DM MMTB!B44"
"HỆ THỐNG THIẾT BỊ PHỤC VỤ SẢN XUẤT","PRODUCTION EQUIPMENT SYSTEM","vi","en","cell","DM MMTB!B45"
"Hệ thống cân nhập liệu 100kg","100kg Input weighing system","vi","en","cell","DM MMTB!B46"
"Hệ thống cân định lượng vi chất 100mg","100mg Micronutrient dosing system","vi","en","cell","DM MMTB!B47"
"Hệ thống xe nâng tay 500kg","500kg Hand pallet truck","vi","en","cell","DM MMTB!B48"
"Hệ thống kệ hàng mẫu","Sample racking system","vi","en","cell","DM MMTB!B49"
"Bộ khuôn thổi chia PET 500ml 4 cavities","PET 500ml 4-cavity blowing mold","vi","en","cell","DM MMTB!B50"
"Bộ khuôn thổi chia PET 250ml 4 cavities","PET 250ml 4-cavity blowing mold","vi","en","cell","DM MMTB!B51"
"Bộ khuôn Popcap cho chai Cmarox Plus","Popcap mold for CMAROX Plus","vi","en","cell","DM MMTB!B52"
"THIẾT BỊ KIỂM TRA THÍ NGHIỆM","LAB TESTING EQUIPMENT","vi","en","cell","DM MMTB!B53"
"Cân phân tích chính xác phần ngàn loại 100g","Analytical balance (1/1000) 100g","vi","en","cell","DM MMTB!B54"
"Máy đo độ ngọt cầm tay","Handheld refractometer","vi","en","cell","DM MMTB!B55"
"Máy đo  pH và nhiệt độ cầm tay","Handheld pH & temp meter","vi","en","cell","DM MMTB!B56"
"Máy đo EC độ dẫn điện cầm tay","Handheld EC meter","vi","en","cell","DM MMTB!B57"
"Máy đo  ORP cầm tay","Handheld ORP meter","vi","en","cell","DM MMTB!B58"
"Máy ẩm kế","Hygrometer","vi","en","cell","DM MMTB!B59"
"Máy kiểm kích  thước và số lượng bong bóng Nano thành phẩm trong nước","Nano bubble analyzer (size & quantity)","vi","en","cell","DM MMTB!B60"
"Thiết bị kiểm hàm lượng Hydrogen và Oxygen chứa trong thành phẩm","Hydrogen & Oxygen analyzer","vi","en","cell","DM MMTB!B61"
"Kính hiển vi kết nối","Connected microscope","vi","en","cell","DM MMTB!B62"
"Máy tính bàn lưu số liệu công nghệ","Technology data desktop","vi","en","cell","DM MMTB!B64"
"Máy tính  xách tay lưu số kiểm soát trung tâm","Central control laptop","vi","en","cell","DM MMTB!B65"
"Máy tính bàn lưu số liệu kho thành phẩm kết nối kế toán","Warehouse & accounting desktop","vi","en","cell","DM MMTB!B66"
"Các máy tính xách tay  kết nối kính hiển vi","Microscope-connected laptops","vi","en","cell","DM MMTB!B67"
"Máy bắn date chưa có _ cần kết nối vào line đóng gói","Date coder (to be connected to line)","vi","en","cell","DM MMTB!B68"
"Máy in số liệu công nghệ","Technology data printer","vi","en","cell","DM MMTB!B69"
"Hệ thống lưu mẫu thiết bị mẫu kiểm / Kệ inox 204","Sample storage system / SS rack 204","vi","en","cell","DM MMTB!B70"
"Hệ thống vận chuyển và logistic của nhà máy ( xe tải - xe con )","Factory logistics (trucks - cars)","vi","en","cell","DM MMTB!B72"
"xe","Veh","vi","en","cell","DM MMTB!C72"
"CƠ CẤU ĐỊNH BIÊN NHÂN SỰ GIAI ĐOẠN I CỦA DA","MANPOWER STRUCTURE FOR PROJECT PHASE I ","vi","en","cell","ĐB-Nhân sự!A1"
"ĐỊNH MỨC NHÂN SỰ","STAFFING NORMS","vi","en","cell","ĐB-Nhân sự!A2"
"Năm 0","Year 0","vi","en","cell","ĐB-Nhân sự!C2"
"TỔNG CỘNG","TOTAL","vi","en","cell","ĐB-Nhân sự!A3"
"KHỐI SẢN XUẤT","PRODUCTION DIVISION","vi","en","cell","ĐB-Nhân sự!A4"
"Khối điều hành sản xuất","Production Management Block","vi","en","cell","ĐB-Nhân sự!A5"
"Giám đốc điều hành nhà máy","Factory Operations Director","vi","en","cell","ĐB-Nhân sự!B6"
"Trưởng phòng kế hoạch và sản xuất","Planning and Production Manager","vi","en","cell","ĐB-Nhân sự!B7"
"Kỹ sư trưởng ca điều hành sản xuất","Production Shift Supervisor","vi","en","cell","ĐB-Nhân sự!B8"
"Công nhân làm việc theo ca","Shift Workers","vi","en","cell","ĐB-Nhân sự!B9"
"Khối nghiên cứu và quản lý chất lượng","Research and Quality Management Block","vi","en","cell","ĐB-Nhân sự!A10"
"Trưởng phòng nghiên cứu & QLCL","R&D and Quality Management Manager","vi","en","cell","ĐB-Nhân sự!B11"
"Kỹ sư  QLCL &  QA","QC & QA Engineer","vi","en","cell","ĐB-Nhân sự!B12"
"Kỹ sư  nghiên cứu và phát triển sản phẩm mới","R&D Engineer (New Product Development)","vi","en","cell","ĐB-Nhân sự!B13"
"Kỹ sư hóa sinh Phòng thí Nghiệm và phân tích","Biochemical Laboratory & Analysis Engineer","vi","en","cell","ĐB-Nhân sự!B14"
"Kỹ thuật - công nghệ - vận hành","Technical - Technology - Operations Block","vi","en","cell","ĐB-Nhân sự!A15"
"Trưởng phòng kỹ thuật - công nghệ.","Technical & Technology Manager","vi","en","cell","ĐB-Nhân sự!B16"
"Kỹ sư quản lý& vận hành hệ thống chế biến nước","Water Treatment System Operations Engineer","vi","en","cell","ĐB-Nhân sự!B17"
"Kỹ sư quản lý& vận hành hệ thống chiết rót","Filling System Operations Engineer","vi","en","cell","ĐB-Nhân sự!B18"
"Kỹ sư cơ khí phụ trách thiết bị động lực - nồi hơi","Mechanical Engineer (Power & Boiler Equipment)","vi","en","cell","ĐB-Nhân sự!B19"
"Kỹ sư cơ điện và bảo trì hệ thống","Electromechanical & Maintenance Engineer","vi","en","cell","ĐB-Nhân sự!B20"
"Bộ phận an toàn nhà máy","Factory Safety Section","vi","en","cell","ĐB-Nhân sự!B21"
"KHỐI KINH DOANH","SALES & BUSINESS BLOCK","vi","en","cell","ĐB-Nhân sự!A22"
"Khối Marketing & Marketing Development","Marketing & Marketing Development Block","vi","en","cell","ĐB-Nhân sự!A23"
"Giám Đốc Marketing và phát triển Kinh Doanh","Marketing & Business Development Director","vi","en","cell","ĐB-Nhân sự!B24"
"Giám đốc thương hiệu và phân tích Marketing","Brand & Marketing Analytics Director","vi","en","cell","ĐB-Nhân sự!B25"
"Trưởng bộ phận thiết kế công  nghiệp và sản phẩm","Industrial & Product Design Lead","vi","en","cell","ĐB-Nhân sự!B26"
"Nhân viên Markting và Phát triển bán hàng quốc tế","International Marketing & Sales Development Staff","vi","en","cell","ĐB-Nhân sự!B27"
"Khối hỗ trợ bán hàng","Sales Support Block","vi","en","cell","ĐB-Nhân sự!A28"
"TP kế hoạch và điều phối hệ thống logistic","Planning & Logistics Coordinator Manager","vi","en","cell","ĐB-Nhân sự!B29"
"Trợ lý cho kế hoạch và điều phối logistic","Planning & Logistics Coordination Assistant","vi","en","cell","ĐB-Nhân sự!B30"
"Khối bán hàng","Sales Block","vi","en","cell","ĐB-Nhân sự!A31"
"Giám đốc bán hàng nội địa","Domestic Sales Director","vi","en","cell","ĐB-Nhân sự!B32"
"Giám đốc bán hàng quốc tế","International Sales Director","vi","en","cell","ĐB-Nhân sự!B33"
"Kỹ sư  bán hàng bán sản phẩm Cmarox và Cmarox Plus","Sales Engineer (CMAROX & CMAROX Plus)","vi","en","cell","ĐB-Nhân sự!B34"
"Kỹ sư  bán hàng bán sản phẩm Cmarox cho Nông nghiệp","Sales Engineer (CMAROX for Agriculture)","vi","en","cell","ĐB-Nhân sự!B35"
"Sales Admin Manager","Sales Admin Manager","vi","en","cell","ĐB-Nhân sự!B36"
"Kỹ sư công nghệ sinh học  - Phụ trách dịch vụ khách hàng","Biotechnology Engineer - Customer Service","vi","en","cell","ĐB-Nhân sự!B37"
"KHỐI QUẢN TRỊ - HÀNH CHÍNH","ADMINISTRATION & MANAGEMENT BLOCK","vi","en","cell","ĐB-Nhân sự!A38"
"BOM","BOM","vi","en","cell","ĐB-Nhân sự!A39"
"Tổng giám đốc công ty CSC","General Director of CSC Company","vi","en","cell","ĐB-Nhân sự!B40"
"Trợ lý tổng giám đốc CSC","Assistant to the General Director of CSC","vi","en","cell","ĐB-Nhân sự!B41"
"Khối tài chính kế toán","Finance & Accounting Block","vi","en","cell","ĐB-Nhân sự!A42"
"Kế toán trưởng ( CAO )","Chief Accountant (CAO)","vi","en","cell","ĐB-Nhân sự!B43"
"Kế toán quản trị  - giá thành","Management & Cost Accountant","vi","en","cell","ĐB-Nhân sự!B44"
"Kế toàn tài chính  - ngân hàng  - cổ đông","Financial Accountant (Banking & Shareholders)","vi","en","cell","ĐB-Nhân sự!B45"
"Thủ quĩ","Treasurer","vi","en","cell","ĐB-Nhân sự!B46"
"Kế toán bán hàng và theo dõi công nợ trong nước","Domestic Sales & Accounts Receivable Accountant","vi","en","cell","ĐB-Nhân sự!B47"
"Kế toán bán hàng  và theo dõi công nợ quốc tế","International Sales & Accounts Receivable Accountant","vi","en","cell","ĐB-Nhân sự!B48"
"Khối thu mua nguyên liệu , vật tư PVSX","Procurement Block (Raw Materials & Production Supplies)","vi","en","cell","ĐB-Nhân sự!A49"
"Giám đốc Xuất nhập khẩu và Thu mua","Import-Export & Procurement Director","vi","en","cell","ĐB-Nhân sự!B50"
"Nhân viên thu mua trong nước","Domestic Purchasing Staff","vi","en","cell","ĐB-Nhân sự!B51"
"Nhân viên xuất nhập khẩu","Import-Export Staff","vi","en","cell","ĐB-Nhân sự!B52"
"Thủ Kho kiêm bốc xếp","Storekeeper & Porter","vi","en","cell","ĐB-Nhân sự!B53"
"Khối hành chính tổng hợp","General Administration Block","vi","en","cell","ĐB-Nhân sự!A54"
"Giám đốc nhân sự và hành chính tỗng hợp","HR & General Administration Director","vi","en","cell","ĐB-Nhân sự!B55"
"Trợ lý tuyển dụng và đào tạo","Recruitment & Training Assistant","vi","en","cell","ĐB-Nhân sự!B56"
"Kỹ sư đánh giá hệ thống và quan hệ công chúng","System Assessment & Public Relations Engineer","vi","en","cell","ĐB-Nhân sự!B57"
"Tạp vụ văn phòng và nhà xưởng","Office & Factory Janitor","vi","en","cell","ĐB-Nhân sự!B58"
"Tài xế xe con cho BOD và các cán bộ làm hành chính","Driver for BOD & Administrative Staff","vi","en","cell","ĐB-Nhân sự!B59"
"Bảo vệ , quản lý cơ sở vật chất - XDCB – ATPCCC","Security, Facilities, Construction & Fire Safety","vi","en","cell","ĐB-Nhân sự!B60"
"ĐỊNH MỨC TIỀN LƯƠNG TẠM TÍNH CHO NĂM 2026","PROVISIONAL SALARY NORMS FOR 2026","vi","en","cell","ĐM-Lương!A1"
"ĐỊNH MỨC TIỀN LƯƠNG","SALARY NORMS",,"en","cell","ĐM-Lương!A2"
"Định mức","Norms","vi","en","cell","ĐM-Lương!C2"
"ban đầu","initial","vi","en","cell","ĐM-Lương!C3"
"Số người","Staff number","vi","en","cell","ĐM-Lương!D3"
"Chi phí lương 1 người 1 tháng","Monthly cost per head","vi","en","cell","ĐM-Lương!E3"
"Chi phí lương","Salary cost","vi","en","cell","ĐM-Lương!H3"
"Cộng","Sum","vi","en","cell","ĐM-Lương!E4"
"Lương","Salary ","vi","en","cell","ĐM-Lương!F4"
"BHBB","Stat. Ins.","vi","en","cell","ĐM-Lương!G4"
"1 năm","1 year","vi","en","cell","ĐM-Lương!H4"
"TỔNG HỢP CHI PHÍ TIỀN LƯƠNG","SUMMARY OF SALARY COST","vi","en","cell","CP-Lương!A1"
"CHI PHÍ TIỀN LƯƠNG (triệu đồng)","SALARY COSTS (VND million)","vi","en","cell","CP-Lương!A2"
"Khối quản lý chất lượng","Quality Management Block","vi","en","cell","CP-Lương!A8"
"Kỹ thuật - bảo trì bảo dưỡng","Technical & Maintenance Block","vi","en","cell","CP-Lương!A9"
"Khối Marketing","Marketing Block","vi","en","cell","CP-Lương!A11"
"Khối thu mua","Procurement Block","vi","en","cell","CP-Lương!A17"
"GIÁ VỐN ĐẦU VÀO CỦA DỰ ÁN","PROJECT INPUT COSTS","vi","en","cell","Giá NVL!A1"
"1. Nguyên vật liệu chính và nguyên liệu kết hợp","1. Main Raw Materials and Combined Materials","vi","en","cell","Giá NVL!A2"
"Tỷ giá","Exchange Rate","vi","en","cell","Giá NVL!C2"
"VNĐ/USD","VND/USD","vi","en","cell","Giá NVL!D2"
"Mã NVL","RM Code","vi","en","cell","Giá NVL!A3"
"Tên nguyên liệu","Material name","vi","en","cell","Giá NVL!B3"
"Đvt","UoM","vi","en","cell","Giá NVL!C3"
"(đ/kg, chưa VAT)","(VND/kg, excl. VAT)","vi","en","cell","Giá NVL!E4"
"Trace Mineral 1,000,000 ppm","Trace Mineral 1,000,000 ppm","vi","en","cell","Giá NVL!B5"
"Lít","Liter","vi","en","cell","Giá NVL!C5"
"Nước RO thành phẩm","Finished RO water","vi","en","cell","Giá NVL!B6"
"2. Định mức - Bao bì","2. Packaging","vi","en","cell","Giá NVL!A11"
"Mã","Code","vi","en","cell","Giá NVL!A12"
"Tên bao bì","Packaging name","vi","en","cell","Giá NVL!B12"
"SL","Amount","vi","en","cell","Giá NVL!D13"
"(đ/bộ, chưa VAT)","(VND/set, excl. VAT)","vi","en","cell","Giá NVL!E13"
"Chai PET - 2 L","PET bottle - 2 L","vi","en","cell","Giá NVL!B14"
"Chai","Bottle","vi","en","cell","Giá NVL!C14"
"Chai PET - 500ml","PET bottle - 500ml ","vi","en","cell","Giá NVL!B15"
"Chai PET - 250ml","PET bottle - 250ml ","vi","en","cell","Giá NVL!B16"
"Chai PET - 100ml","PET bottle - 100ml ","vi","en","cell","Giá NVL!B17"
"Nắp nhựa PCO-32","Plastic cap PCO-32 ","vi","en","cell","Giá NVL!B19"
"Cái","Piece","vi","en","cell","Giá NVL!C19"
"Nắp nhựa PCO-28","Plastic cap PCO-28","vi","en","cell","Giá NVL!B20"
"Nắp định lượng","Measuring Cap","vi","en","cell","Giá NVL!B21"
"Nhãn chai CMRX-100K-100","Bottle label CMRX-100K-100","vi","en","cell","Giá NVL!B23"
"Nhãn chai CMRX-10K-2L","Bottle label CMRX-10K-2L","vi","en","cell","Giá NVL!B24"
"Nhãn chai CMRX-1K-500","Bottle label CMRX-1K-500","vi","en","cell","Giá NVL!B25"
"Nhãn chai CMRX-1K-250","Bottle label CMRX-1K-250","vi","en","cell","Giá NVL!B26"
"Nhãn chai CMRX-500 Plus","Bottle label CMRX-500 Plus","vi","en","cell","Giá NVL!B27"
"Nhãn chai CMRX-250 Plus","Bottle label CMRX-250 Plus","vi","en","cell","Giá NVL!B28"
"Nắp PopCap energy powder","PopCap Energy Powder Cap","vi","en","cell","Giá NVL!B30"
"Hộp cho chai 100ml Cmarox Plus","Box for 100ml CMAROX Plus bottle","vi","en","cell","Giá NVL!B31"
"Thùng carton thành phẩm chai  CMRX-10k2L (6 chai/thùng)","Finished carton - CMRX-10k2L (6 bottles/ctn)","vi","en","cell","Giá NVL!B33"
"Thùng carton thành phẩm chai CMRX-1K-500 và CMRX-500 Plus-500 (24 chai/thùng)","Finished carton - CMRX-1K-500 & CMRX-500 Plus-500 (24 bottles/ctn)","vi","en","cell","Giá NVL!B34"
"Thùng carton thành phẩm chai  CMRX-100k100 (48 chai /2 cases/thùng)","Finished carton – CMRX-100k100 (48 bottles/2 ctn)","vi","en","cell","Giá NVL!B35"
"Thùng carton thành phẩm chai  CMRX-1K-250 và CMRX-250 Plus (24 chai/ thùng)","Finished carton – CMRX-1K-250 & CMRX-250 Plus (24 bottles/ctn)","vi","en","cell","Giá NVL!B36"
"Màng co nắp chai CMRX-10k- 2L","Cap shrink film - CMRX-10k- 2L","vi","en","cell","Giá NVL!B38"
"Màng co nắp chai CMRX-1K500 và CMRX-500 Plus","Cap shrink film – CMRX-1K500 & CMRX-500 Plus","vi","en","cell","Giá NVL!B39"
"Màng co nắp chai  CMRX-100K-100","Cap shrink film – CMRX-100K-100","vi","en","cell","Giá NVL!B40"
"Màng co nắp chai CMRX-250-500 Plus","Cap shrink film – CMRX-250-500 Plus","vi","en","cell","Giá NVL!B41"
"3.         Nhiên liệu và vật tư khác","3. Fuel and Other Supplies","vi","en","cell","Giá NVL!A44"
"(chưa VAT)","( excl. VAT)","vi","en","cell","Giá NVL!E46"
"Điện sản xuất","Electricity for Production","vi","en","cell","Giá NVL!B47"
"VNĐ/kwh","VND/kwh","vi","en","cell","Giá NVL!C47"
"Điện sinh hoạt","Electricity for Domestic Use","vi","en","cell","Giá NVL!B48"
"Nước nguồn KCN cấp","Industrial Park Water Supply","vi","en","cell","Giá NVL!B49"
"VNĐ/m3","VND/m3","vi","en","cell","Giá NVL!C49"
"Xử lý nước thải công nghiệp và Nước sinh  hoạt","Industrial and Domestic Wastewater Treatment","vi","en","cell","Giá NVL!B50"
"ĐỊNH MỨC CÔNG THỨC SẢN PHẨM CMAROX CÁC LOẠI GIAI ĐOẠN I CỦA DỰ ÁN","PRODUCT FORMULA NORMS FOR CMAROX PRODUCTS – PROJECT PHASE I","vi","en","cell","Formula !A1"
"Mã NVL-ĐG","Raw material – Packaging Code","vi","en","cell","Formula !A2"
"Thành phần","Items","vi","en","cell","Formula !B2"
"CMRX-100K-100","CMRX-100K-100","vi","en","cell","Formula !E2"
"CMRX-10K-2L","CMRX-10K-2L","vi","en","cell","Formula !G2"
"CMRX-1K-500","CMRX-1K-500","vi","en","cell","Formula !I2"
"CMRX-1K-250","CMRX-1K-250","vi","en","cell","Formula !K2"
"CMRX-500 Plus","CMRX-500 Plus","vi","en","cell","Formula !M2"
"CMRX-250 Plus","CMRX-250 Plus","vi","en","cell","Formula !O2"
"SL
(ml,g)","Amount
(ml,g)","vi","en","cell","Formula !E3"
"Gía trị
(đồng)","Value
(VND)","vi","en","cell","Formula !F3"
"Nắp nhựa 2 pices PEHD PCO-28","Plastic cap 2 pices PEHD PCO-28","vi","en","cell","Formula !B17"
"Màng co nắp chai Cmarox Plus 100ml","Cap shrink film – CMRX Plus 100ml","vi","en","cell","Formula !B37"
"ĐỊNH MƯC KHÁC","OTHER NORMS","vi","en","cell","ĐMCP-KHÁC!A1"
"Thông số","Items","vi","en","cell","ĐMCP-KHÁC!A2"
"Chi phí sản xuất khác","Other Manufacturing Overheads","vi","en","cell","ĐMCP-KHÁC!A3"
"Chi phí sản xuất chung","Manufacturing Overheads","vi","en","cell","ĐMCP-KHÁC!D3"
"Chi phí vận chuyển","Transportation Costs","vi","en","cell","ĐMCP-KHÁC!A4"
